"","names.tidydf."
"1","subject"
"2","activity"
"3","time.body.acc.norm.mean.x"
"4","time.body.acc.norm.mean.y"
"5","time.body.acc.norm.mean.z"
"6","time.body.acc.norm.std.x"
"7","time.body.acc.norm.std.y"
"8","time.body.acc.norm.std.z"
"9","time.gravity.acc.norm.mean.x"
"10","time.gravity.acc.norm.mean.y"
"11","time.gravity.acc.norm.mean.z"
"12","time.gravity.acc.norm.std.x"
"13","time.gravity.acc.norm.std.y"
"14","time.gravity.acc.norm.std.z"
"15","time.body.acc.jerk.mean.x"
"16","time.body.acc.jerk.mean.y"
"17","time.body.acc.jerk.mean.z"
"18","time.body.acc.jerk.std.x"
"19","time.body.acc.jerk.std.y"
"20","time.body.acc.jerk.std.z"
"21","time.body.gyro.mean.x"
"22","time.body.gyro.mean.y"
"23","time.body.gyro.mean.z"
"24","time.body.gyro.std.x"
"25","time.body.gyro.std.y"
"26","time.body.gyro.std.z"
"27","time.body.gyro.jerk.mean.x"
"28","time.body.gyro.jerk.mean.y"
"29","time.body.gyro.jerk.mean.z"
"30","time.body.gyro.jerk.std.x"
"31","time.body.gyro.jerk.std.y"
"32","time.body.gyro.jerk.std.z"
"33","time.body.acc.mag.mean"
"34","time.body.acc.mag.std"
"35","time.gravity.acc.mag.mean"
"36","time.gravity.acc.mag.std"
"37","time.body.acc.jerk.mag.mean"
"38","time.body.acc.jerk.mag.std"
"39","time.body.gyro.mag.mean"
"40","time.body.gyro.mag.std"
"41","time.body.gyro.jerk.mag.mean"
"42","time.body.gyro.jerk.mag.std"
"43","freq.body.acc.norm.mean.x"
"44","freq.body.acc.norm.mean.y"
"45","freq.body.acc.norm.mean.z"
"46","freq.body.acc.norm.std.x"
"47","freq.body.acc.norm.std.y"
"48","freq.body.acc.norm.std.z"
"49","freq.body.acc.norm.meanfreq.x"
"50","freq.body.acc.norm.meanfreq.y"
"51","freq.body.acc.norm.meanfreq.z"
"52","freq.body.acc.jerk.mean.x"
"53","freq.body.acc.jerk.mean.y"
"54","freq.body.acc.jerk.mean.z"
"55","freq.body.acc.jerk.std.x"
"56","freq.body.acc.jerk.std.y"
"57","freq.body.acc.jerk.std.z"
"58","freq.body.acc.jerk.meanfreq.x"
"59","freq.body.acc.jerk.meanfreq.y"
"60","freq.body.acc.jerk.meanfreq.z"
"61","freq.body.gyro.mean.x"
"62","freq.body.gyro.mean.y"
"63","freq.body.gyro.mean.z"
"64","freq.body.gyro.std.x"
"65","freq.body.gyro.std.y"
"66","freq.body.gyro.std.z"
"67","freq.body.gyro.meanfreq.x"
"68","freq.body.gyro.meanfreq.y"
"69","freq.body.gyro.meanfreq.z"
"70","freq.body.acc.mag.mean"
"71","freq.body.acc.mag.std"
"72","freq.body.acc.mag.meanfreq"
"73","freq.body.acc.jerk.mag.mean"
"74","freq.body.acc.jerk.mag.std"
"75","freq.body.acc.jerk.mag.meanfreq"
"76","freq.body.gyro.mag.mean"
"77","freq.body.gyro.mag.std"
"78","freq.body.gyro.mag.meanfreq"
"79","freq.body.gyro.jerk.mag.mean"
"80","freq.body.gyro.jerk.mag.std"
"81","freq.body.gyro.jerk.mag.meanfreq"
"82","angle.tbody.acc.mean.gravity"
"83","angle.tbody.acc.jerk.mean.gravity.mean"
"84","angle.tbody.gyro.mean.gravity.mean"
"85","angle.tbody.gyro.jerk.mean.gravity.mean"
"86","angle.x.gravity.mean"
"87","angle.y.gravity.mean"
"88","angle.z.gravity.mean"
